,id,date,rating,userName,content
41,42,2022년 6월 29일,3,so young Lee,새로 시작하는 로그미. 2군데 다이소 모두 불분명한 주소라 적립 불가...다이소만 선택적으로 왜 그럴까요...포인트 적립은 되는데...이상타~
42,43,2022년 6월 6일,5,조서영,저렴하게 구입하여 잘 사용하였어요 잔액이 남으면 아까워서 돈주고 더 구입해야하는게 항상 불편하네요
43,44,2022년 6월 20일,1,배수웅,서비스 완전 최악이네요 기프트콘 팔려고 내놨더니 등록 다시하라고해서 등록했더니 다시 반려 받았어요. 뭐하는 짓이죠? 본인들 UI/UX 구린거랑 상담사랑 기프트콘 확인 하는 부서랑 매뉴얼도 다른가요?
44,45,2022년 6월 13일,5,최하나,아직은 유명한 곳뿐이라 조금 아쉬워요 그래도 불필요한 기프티콘 정리나 필요한 기프티콘 구매에 편리해서 좋네요
45,46,2022년 3월 16일,1,eun jin,"앱이 왜 안열리나요? 첫화면이 백지 상태로 움직임이 없어요. 잘 들어가지는 날도 있긴한데 아무반응이 없는 경우도 잦습니다. 나만 이런지, 다른분들은 아무때나 잘 들어가질까요? 사용하기 불편합니다."
46,47,2022년 3월 9일,2,조혜경,왜 수시로 렉이 걸리는 걸까요? 최근 들어 수시로 먹통이 되네요.ㅠㅠ 접속을 할수가 없어요.ㅠㅠ 삭제했다 다시 깔면 그때는 되는데 나갔다 다시 들어가면 또 로딩단계에서 멈춰있음. 핸드폰 마다 다 그럼.ㅠㅠ 왜 이럴까요? 관리자님 해결 좀 해주세요.
47,48,2022년 6월 10일,5,심성훈,잘 쓰는중입니다. 구매시 여러개 선택해서 한번에 결제 가능하게 해주세요.
48,49,2022년 6월 24일,1,bc a,다 좋은데 대체 왜..매입 열렸을때 알림 주는 기능을 안만드는지 모르겠음. 그게 그렇게 어려운 기능인가요? 수많은 사람들이 원하는데
49,50,2022년 7월 5일,5,YeeSeong[이성],항상 여기에 판매를 하는데 정산이 느리지만 가장 편하게 판매가 가능합니다.
50,51,2022년 3월 28일,2,아놔이거참나,아웃백 쿠폰 구매했다가 사기당했네요. 환불 처리는 되었습니다만 이 쿠폰이 사용이 다 된 쿠폰인지 아닌지에 대한 무결성 검증 절차가 있는지 아니면 미흡한건지 의심스럽습니다. 이 부분만 잘 체크되면 더 잘 될 수 있지 않을까 싶습니다.
51,52,2022년 6월 23일,5,김은영,저렴하게 사서 유용하게 잘 썼어요~ 자주 이용 할꺼 같아요~~^^
52,53,2022년 8월 10일,5,김은수,앞으로 니콘에서만 쓸게여 ㅠㅠ 허위신고 대처도 여기가 더 좋은것같아요
53,54,2022년 8월 11일,4,Suzy Q,구입항목마다 메모할수있으면 좋겠어요 (기프티스타처럼)
54,55,2022년 5월 20일,3,도레미,페이스북로그인하기로 계속 로그인했었는데 4월말부터 로그인이 안 돼서 계속 이용 못하고 있습니다. 이럴경우 어떻게 하나요?
55,56,2022년 6월 27일,1,jayjay Missjay,첫화면에 판매 현황 버튼 되돌려주세요!! 진짜 불편하네!
56,57,2022년 5월 3일,3,코무,카드 사용 캐시백 기능 좋은 기능같아 보이나 카드도 등록해서 쓰는데 사용후 자동적립도아니고 캐시백누르기... 캐시백 버튼이 바로 뜨지도않으니 매번들어가서 기다릴수도 없고 등록까지해서 쓴거니 만큼 캐시백도 자동으로해주셔야하지 않을까요? 쓰고도 캐시백버튼누르게하는게 맞나요 본인이캐시백받고자 사용한걸 텐데
57,58,2022년 6월 2일,5,Mijung Jung,구매도 사용도 편하네요. 자주 이용하게요.
58,59,2022년 5월 13일,4,clover,업데이트할때마다 묘하게 점점더 이상해져서 업데이트 안하고 싶어져요.. 옆으로 스와이프 하면 옆 카테고리로 넘어가게 해주세요. 카테고리를 왜이렇게 많이 나눠놓은건지... 옆으로 가기 힘들어요. 스크롤도 밑으로 다 안내려가는 오류도 있구요.
59,60,2022년 6월 7일,4,king mr,기존카카오선물하기는 원가격인데 여기선 저렴하게팔아서 가성비좋네요 종종 이용해야겠어요
60,61,2022년 3월 12일,3,12여름 k,자꾸렉이 걸립니다 사용기한 날짜가 임박해서 쓸려 하는데 앱이 안열려요 요즘들어 자주그래요~~
61,62,2022년 7월 19일,5,남권모,저렴하게 구매해서 좋아욯ㅎㅎ짱
62,63,2021년 4월 7일,5,미술관가는여자,"음료 마시거나 문화생활 즐길 때 조금 더 저렴하게 이용할 수 있어서 좋아요^^ 다만 환불이 안된다는 점, 사용 후 제가 사용완료 버튼을 눌러야 한다는 점이 조금 불편하네요~ 사용완료되면 자동으로 처리되었으면 좋겠습니다!"
63,64,2022년 3월 13일,1,임영민,주말에 사용하려고 구매했는데 쿠폰이 이미취소됬다고하면서 사용이 안됩니다. 당연히 바로 취소나 환불은 안됩니다 고객센터가니 상담시간이 아니라고 아무글도 남길 수 없습니다. 제 돈은 왜 다시받을 수 없는거죠? 최소한 고객센터에 글이라도 남길수 있게 해줘요 내돈 먹은 책임이 그쪽에 있는데 주말이라고 이렇게 아무대책이 없는건 무책임한것 같습니다.
64,65,2022년 7월 29일,1,ㅇㅇ,잘팔리는것만받고 별로임
65,66,2021년 5월 13일,1,밤의피아노,추천하지 않습니다. 벌써 기프티콘 사고 안찍히는 경우가 3번이나 발생했습니다. 스벅무료쿠폰을 자주 구매하는데 드라이브스루에서 애먹은적이 한두번이 아닙니다. 환불절차도 지저분하고 기프티콘 번호를 다 작성해야되더군요.. 애초에 확실한것만 팔아야지 구매와 환불에 까지 모두 소비자에게 불편함과 부담을 지우는 쓰레기 같은 어플이라고 생각합니다
66,67,2022년 7월 3일,5,김명주,필요할때 바로사서 사용~ 너무 좋아요^^
67,68,2022년 6월 12일,5,aid cas,정가보다 저렴하게 구매할 수 있어 좋아용 !
68,69,2022년 6월 17일,4,이양옥,가격저렴 더 많은 상품 나왔으면 좋겠네요~
69,70,2022년 8월 6일,5,주희,싸게구매해서좋아용~^^
70,71,2022년 8월 6일,5,Yachae Jin,너무 좋은 플랫폼
71,72,2022년 5월 1일,1,서울대고고,"4월30일 구매한 기프티콘이 사용됬다고떠서 문의하려고 앱켰는데 로그아웃되있었어요 카카오톡으로 회원가입했는데 로그인도 안되, 고객센터 문의도 안되고 무슨앱이 이렇게 엉망인가요? 다시 설치해도 동일 합니다. 확인해주세요."
72,73,2022년 8월 5일,5,김지은,유용해서 좋습니다.다양한 이벤트도 있어서 좋네요.
73,74,2021년 4월 8일,5,항이화이팅,구매 후 사용할 때 이미 만료된 쿠폰이라 뜰까봐 조금 걱정되는 부분이 있습니다. 앱 설치 후 초기 화면에서 이와 관련해 조금 더 친절한 설명이 있었으면 합니다. 앱 자체는 굉장히 유용해요
74,75,2022년 6월 10일,1,Dorrri Gommm,아침에 신청한 정산금이 들어오지 않아요. ㅠㅠ 1대1채팅도 되지 않고. 이제 그만두어야 하나요?
75,76,2020년 3월 7일,5,Google 사용자,기프티콘을 사서 써보진 않았지만 판매는 문제없고 좋은거 같아요. 판매를 해보니 카카오톡 선물하기로 받은 기프티콘을 판매했을 경우에 정산이 되고 난 이후에도 카카오톡 선물함에 미사용으로 있더라구요. 이런 경우 저는 기프티콘이 하나라서 헷갈리지 않지만 두세개중에 하나만 니콘내콘에 판매하게되면 헷갈려서 써버릴꺼 같아요ㅠㅠ 기존 문제점들이 이건거 같은데 제휴를 하던가 해서 카카오 선물함에서도 사용하지 못하게해야 할 거 같습니다!! 카카오 뿐만 아니라 그냥 사진으로 받는 기프티콘도 마찬가지 일테니 니콘내콘에 접수가 되면 사용처에서 니콘내콘으로 산 사람의 전화번호나 다른 증명번호를 제시하며 사용할 수 있게하면 어떨까요? 그럼 판매한 사람도 쉽게 써버릴 수 없을꺼에요. 어플리케이션 프로그램 설정에 대해 1도 모르는 사람이라 이렇게 될 수 있을지는 모르겠지만 많은 분들이 불편하지 않게 사용할 수 있는 앱이 될 수 있게 문제점들 해결해주세요. 응원합니다~!
76,77,2021년 4월 7일,5,박선영,"기프티콘을 일반적인 가격보다 저렴하게 살 수 있다는 사실에 놀랬고, 다양한 상품과 한번씩 찬스같은 땡처리된 특급세일제품이 나와서 종종 재미있게 구매했습니다. 가지고 있던 기프티콘도 소소하게 앱테크 하는 앱으로도 저에게 있어서는 도움되는 것 같습니다^^"
77,78,2021년 4월 7일,5,lysjin,소소하게 팔고있는데 일단 가격이 비슷하거나 높은게 있어서 잘 이용하고 있어요~ 수락이 빠른편입니다. 전 급하건 아니라 정산도 바로 안해서 난중에 차곡차곡 모인 금액을 보면 기분이 좋음
78,79,2021년 4월 7일,5,똥강아쥐,니콘내콘은 판매도 구매도 편해서 자주 애용합니다. 타사에비해 판매오류도 거의 없어 저는 이미 갈아탄지 오래되었어요. 앱에 판매하는 제품들도 앞으로 많이 다양해 졌으면 좋겠어요. 항상 도움이 많이되어 별다섯게 드리고갑니다~^^
79,80,2021년 4월 7일,5,Leat,기프트콘을 쉽게 사고 팔수 있어서 좋아요. 사용하면서 별 불편한 점도 없고 이벤트도 있어서 좋아요. 기프트콘이 자동인식 됐으면 하는 바램이 있을 뿐입니다^^
80,81,2020년 6월 19일,5,gon bro,잘이용중입니다. 그냥결재하는거보다 번거럽지만 할인된다는 히열이 있어 좋고요 개인적으로 내콘기프티콘마다 개인적으로 메모같은거 할수 있으면 좋을거 같아요 얼마남았는지 뭘 이용하고 남았다라는 표현할수 있으면 편할거 같아서요
81,82,2021년 9월 8일,1,eunii,여긴 정말 시스템도 문제지만 더 문제는 고객센터 응대방식임. 응대속도도 늦고 문제가 해결되기도 전에 챗 끊어버림. 이 앱 사용하시는 분들은 정산출금때까지 별다른 문제없길 바라세요.
82,83,2021년 4월 7일,5,셜록홈즈,"꾸준히 이용하고 있어요. 기존에는 카카오톡으로 이용했는데 확실히 앱이 편해요. 알림톡으로 날아오니 바로바로 매도도 가능하고 좋습니다. 다만, 매도시 기프티콘의 원가격이 적혀있지 않아 어느 정도의 할인율로 판매하는 건지 알 수 없어 좀 불편하긴 합니다."
83,84,2021년 4월 6일,5,김보영,매우 유용하게 잘 쓰고 있어요~ 크리스마스 기념일 같은때는 순식간에 소진되는것 같아요 ㅎㅎ 보유쿠폰은 바코드 찍힘과 동시에 사용완료 가 떴으면 좋겠어요 수동으로 사용 후 버튼 누르기 말구요 ㅎ..
